sampleID,bismarkCov,cell_type
HSC_1,HSC_1.cov.gz,HSC
HSC_2,HSC_2.cov.gz,HSC
pre_B_1,pre_B_1.cov.gz,preB
pre_B_2,pre_B_2.cov.gz,preB
naive_B_1,naive_B_1.cov.gz,naiveB
naive_B_2,naive_B_2.cov.gz,naiveB
gc_B_1,gc_B_1.cov.gz,gcB
gc_B_2,gc_B_2.cov.gz,gcB
memBC_1,memBC_1.cov.gz,memB
memBC_2,memBC_2.cov.gz,memB

